20140904	371500	ANDH060503	1131	132	999	206	206	0	47	69	80
20140904	410200	IOSH060500	149	12	137	7	7	0	8	16	16
20140904	410300	IOSH060600	20853	1605	19248	3910	3910	0	772	1175	1290
20140904	410400	IOSH060502	465	7	458	93	93	0	13	20	24
20140904	410800	ANDH060500	20	1	19	0	0	0	1	3	3
20140904	410900	ANDH060501	232	4	228	40	40	0	17	22	25
20140904	410900	ANDH060600	8029	764	7265	1378	1378	0	427	613	663
20140904	411300	IOSH060500	182	1	181	26	26	0	10	12	13
20140904	411400	IOSH060600	8266	623	7643	1660	1660	0	286	406	438
20140904	411500	IOSH060502	560	37	523	120	120	0	12	17	19
20140904	420100	IOSH060500	3655	208	3447	745	745	0	130	199	226
20140904	420200	IOSH060600	5917	424	5493	1178	1178	0	190	288	316
20140904	420300	IOSH060502	244	5	239	48	48	0	11	12	13
20140904	420700	ANDH060500	3	0	3	0	0	0	0	0	0
20140904	420800	ANDH060501	283	24	259	47	47	0	14	25	28
20140904	420800	ANDH060600	7542	654	6888	1236	1236	0	340	483	537
20140904	421200	IOSH060500	156	18	138	20	20	0	3	7	7
20140904	421300	IOSH060600	3918	512	3406	658	658	0	133	185	206
20140904	430100	IOSH060600	110568	9162	101406	19869	19869	0	3721	5678	6311
20140904	430200	IOSH060502	696	31	665	136	136	0	29	40	44
20140904	430600	ANDH060500	81	12	69	3	3	0	2	5	5
20140904	430700	ANDH060501	432	29	403	47	47	0	25	32	34
20140904	430700	ANDH060600	9677	873	8804	1411	1411	0	442	645	733
20140904	430800	ANDH060601	4	2	2	0	0	0	0	0	0
20140904	430900	ANDH060503	672	46	626	136	136	0	17	21	30
20140904	431100	IOSH060500	47	0	47	8	8	0	0	1	2
20140904	431200	IOSH060600	4345	223	4122	781	781	0	147	225	242
20140904	431300	IOSH060502	302	16	286	45	45	0	10	14	16
20140904	440100	ANDH070000	1	0	1	0	0	0	0	0	0
20140904	440100	IOSH060502	25821	2053	23768	5286	5286	0	797	1241	1358
20140904	440500	ANDH060500	149	3	146	51	51	0	9	10	10
20140904	440600	ANDH060501	9251	730	8521	1862	1862	0	335	535	605
20140904	440600	ANDH060600	167123	13007	154116	35136	35136	0	5819	8974	10249
20140904	440800	ANDH060503	2165	277	1888	455	455	0	66	115	129
20140904	441200	IOSH060502	883	86	797	218	218	0	28	42	46
20140904	441600	ANDH060500	119	4	115	19	19	0	1	3	5
20140904	441700	ANDH060501	436	35	401	54	54	0	21	39	40
20140904	441700	ANDH060600	9834	799	9035	1773	1773	0	443	649	736
20140904	441900	ANDH060503	23732	2146	21586	6602	6602	0	596	927	1053
20140904	450400	ANDH060500	32	1	31	2	2	0	4	5	5
20140904	450500	ANDH060501	528	54	474	103	103	0	38	54	66
20140904	450500	ANDH060600	9775	971	8804	1561	1561	0	484	738	833
20140904	450700	ANDH060503	662	39	623	155	155	0	30	38	40
20140904	451000	IOSH060600	2105	234	1871	319	319	0	87	117	124
20140904	451100	IOSH060502	56	2	54	1	1	0	7	8	9
20140904	469006	IOSH060500	14	1	13	2	2	0	1	1	1
20140904	469007	IOSH060600	321	14	307	79	79	0	14	21	24
20140904	469021	ANDH060503	27	0	27	2	2	0	3	3	3
20140904	469028	IOSH060500	6	0	6	0	0	0	0	1	1
20140904	469029	IOSH060600	246	17	229	32	32	0	7	11	14
20140904	469030	ANDH060600	135	9	126	44	44	0	5	8	11
20140904	510300	IOSH060500	61	0	61	14	14	0	1	1	1
20140904	510400	IOSH060600	2628	582	2046	453	453	0	82	112	123
20140904	510500	IOSH060502	510	42	468	84	84	0	22	32	36
20140904	510900	ANDH060500	20	0	20	3	3	0	1	2	2
20140904	511400	IOSH060500	90	6	84	11	11	0	6	8	9
20140904	511500	IOSH060600	5853	430	5423	1043	1043	0	214	292	320
20140904	511600	IOSH060502	280	32	248	40	40	0	11	19	20
